list of data alert,,,,,,,,,
,,,,,,,,,
item,bloomberg/haver ticker,,,,,,,,
,,,,,,,,,
slovakia unemployment rate,SLUER Index,,,,,,,,
,,,,,,,,,
swiss gold export to china,CHNIGCNE@ALPMED,,,,,,,,
,,,,,,,,,
DB siren,DBSRMEA Index,,,,,,,,
,,,,,,,,,
China agg financing,CNLNNEW Index,,,,,,,,
,,,,,,,,,
new yuan loan,CNMS1YOY Index,,,,,,,,
,,,,,,,,,
M1,CNLNASF Index,,,,,,,,
,,,,,,,,,
Poland industrial production,POISCMOM Index,,,,,,,,
,,,,,,,,,
Taiwan export orders,TWEOTTLY Index,,,,,,,,
,,,,,,,,,
German consumer confidence,ECO1GFKC Index,,,,,,,,
,,,,,,,,,
Turkey consumer confidence,TUCDCONS Index,,,,,,,,
,,,,,,,,,
Australia employment change,AULFEMPC Index,,,,,,,,
,,,,,,,,,
unemployment rate,AULFUNEM Index,,,,,,,,
,,,,,,,,,
participate rate,AULFPART Index,,,,,,,,
,,,,,,,,,
Citi global surprise index,CESIGL Index,,,,,,,,
,,,,,,,,,
Citi data change index,CECIDGL Index,,,,,,,,
,,,,,,,,,
Citi em surprise index,CESIEM Index,,,,,,,,
,,,,,,,,,
Bric data surprise index,CESIBRIC Index,,,,,,,,
,,,,,,,,,
EM export surprise index,CESIEMXP Index,,,,,,,,
,,,,,,,,,
Asia pacific surprise index,CESIAPAC Index,,,,,,,,
,,,,,,,,,
CEEMEA data surprise index,CESICMEA Index,,,,,,,,
,,,,,,,,,
Latin am surprise index,CESILTAM Index,,,,,,,,
,,,,,,,,,
China data surprise index,CESICNY Index,,,,,,,,
,,,,,,,,,
Taiwan data surprise index,CESITWD Index,,,,,,,,
,,,,,,,,,
DM data surprise index,CESIG10 Index,,,,,,,,
,,,,,,,,,
US data surprise index,CESIUSD Index,,,,,,,,
,,,,,,,,,
US hard data surprise index,CESIUSH Index,,,,,,,,
,,,,,,,,,
US soft data surprise index,CESIUSS Index,,,,,,,,
,,,,,,,,,
US atlanta GDP now,GDGCAFJP Index,,,,,,,,
,,,,,,,,,
USA single family housing starts,nhsps1 Index,,,,,,,,
,,,,,,,,,
Housing permits,nhspa1 Index,,,,,,,,
,,,,,,,,,
Canada CPI,CACPIYOY Index,,,,,,,,
,,,,,,,,,
Common core,CACPCYOY Index,,,,,,,,
,,,,,,,,,
EA construction output,EUCPTWDY Index,,,,,,,,
,,,,,,,,,
UK CPI,UKRPCJYR Index,,,,,,,,
,,,,,,,,,
UK retail sales,UKRVAMOM Index,,,,,,,,
,,,,,,,,,
UK retail sales ex Auto fuel,UKRVAYOY Index,,,,,,,,
,,,,,,,,,
EA current account,EUSATOTN Index,,,,,,,,
,,,,,,,,,
Poland wage,POWGYOY Index,,,,,,,,
,,,,,,,,,
employment growth,POEYYOY Index,,,,,,,,
,,,,,,,,,
Sweden CPI,SWCPUIFY Index,,,,,,,,
,,,,,,,,,
Sweden CPI ex energy,SWCPIFY Index,,,,,,,,
,,,,,,,,,
South africa CPI,SACPIYOY Index,,,,,,,,
,,,,,,,,,
South africa CPI core,SCP8EPNY Index,,,,,,,,
,,,,,,,,,
Japan export increase,JNTBEXPY Index,,,,,,,,
,,,,,,,,,
Japan import,JNTBIMPY Index,,,,,,,,
,,,,,,,,,
Trade balance,JNTBALA Index,,,,,,,,
,,,,,,,,,
Japan machine order,JNMOCHNG Index,,,,,,,,
,,,,,,,,,
Japan core machine order,JNMOYOY Index,,,,,,,,
,,,,,,,,,
USA NAHB housing market index,USHBMIDX Index,,,,,,,,
,,,,,,,,,
USA empire,EMPRGBCI Index,,,,,,,,
,,,,,,,,,
new orders,EMPRNEWO Index,,,,,,,,
,,,,,,,,,
turkey housing price,TUHPTOTY Index,,,,,,,,
,,,,,,,,,
German ZEW current situation,GRZECURR Index,,,,,,,,
,,,,,,,,,
expection,GRZEWI Index,,,,,,,,
,,,,,,,,,
UK average weekly earning,UKAWXTOM Index,,,,,,,,
,,,,,,,,,
AWE total,UKAWMWHO Index,,,,,,,,
,,,,,,,,,
ILO unemployment rate,UKUEILOR Index,,,,,,,,
,,,,,,,,,
claimant count rate,UKUER Index,,,,,,,,
,,,,,,,,,
Jobless claims change,UKUEMOM Index,,,,,,,,
,,,,,,,,,
Employment change,UKLFEMCH Index,,,,,,,,
,,,,,,,,,
Sweden unemployment rate,SWUESART Index,,,,,,,,
,,,,,,,,,
EU new car registration,WCAR25 Y Index,,,,,,,,
,,,,,,,,,
new car registration MAV,WCAREU25 Index,,,,,,,,
,,,,,,,,,
Citi earning revision indices ERI global,CGERGLOB Index,,,,,,,,
,,,,,,,,,
ERI DM,CGERGLDM Index,,,,,,,,
,,,,,,,,,
ERI DM,CGERGLEM Index,,,,,,,,
,,,,,,,,,
ERI US,CGERUSA1 Index,,,,,,,,
,,,,,,,,,
ERI EU ex UK,CGEREUXU Index,,,,,,,,
,,,,,,,,,
ERI UK,CGERUKUK Index,,,,,,,,
,,,,,,,,,
ERI Japan,CGERJAPN Index,,,,,,,,
,,,,,,,,,
ERI pacific ex Japan,CGERAPXJ Index,,,,,,,,
,,,,,,,,,
ERI global financials,CGERGLFN Index,,,,,,,,
,,,,,,,,,
ERI EM financial,CGEREMFN Index,,,,,,,,
,,,,,,,,,
