Read,Visible,id,Ticker,Load_Fn,FunctionArgs,Location,Country,Concept,Name,sub1,sub2,sub3,sub4,sub5,seas,Version,Description,Freq

TRUE,FALSE,s_1,USA_RSALES_NOM_1_SA,haver,NRS@SURVEYS,,USA,RETAIL SALES,RSALES,NOM,,,,,SA,,,M

TRUE,FALSE,s_2,USA_RSALES_NOM_2_SA,haver,TRST@SURVEYS,,USA,RETAIL SALES,RSALES,NOM,,,,,SA,,,M

TRUE,FALSE,s_3,USA_CONS_CONF_CB_1_SA,haver,CCIN@CBDB,,USA,CONSUMER CONFIDENCE,CONS,CONF,,CB,,,SA,,,M

TRUE,FALSE,s_4,USA_CONS_CONF_CUR_CB_1_SA,haver,CCIPSN@CBDB,,USA,CONSUMER CONFIDENCE,CONS,CONF,CUR,CB,,,SA,,,M

TRUE,FALSE,s_5,USA_CONS_EXP_CB_1_SA,haver,CCIEN@CBDB,,USA,CONSUMER CONFIDENCE,CONS,EXP,,CB,,,SA,,,M

TRUE,FALSE,s_6,USA_PMI_ISM_NONMAN_1_SA,haver,NMFC@SURVEYS,,USA,PMI,PMI,ISM,NONMAN,,,,SA,,,M

TRUE,FALSE,s_7,USA_PMI_ISM_NONMAN_BA_1_SA,haver,NMFBAIA@SURVEYS,,USA,PMI,PMI,ISM,NONMAN,BA,,,SA,,,M

TRUE,FALSE,s_8,USA_PMI_ISM_NONMAN_NO_1_SA,haver,NMFNIA@SURVEYS,,USA,PMI,PMI,ISM,NONMAN,NO,,,SA,,,M

TRUE,FALSE,s_9,USA_PMI_ISM_NONMAN_EMPL_1_SA,haver,NMFEIA@SURVEYS,,USA,PMI,PMI,ISM,NONMAN,EMPL,,,SA,,,M

TRUE,FALSE,s_10,USA_PMI_ISM_NONMAN_SUPDELIV_1_NSA,haver,NMFVDI@SURVEYS,,USA,PMI,PMI,ISM,NONMAN,SUPDELIV,,,NSA,,,M

TRUE,FALSE,s_11,USA_PMI_ISM_NONMAN_PRICES_1_SA,haver,NMFPIA@SURVEYS,,USA,PMI,PMI,ISM,NONMAN,PRICES,,,SA,,,M

TRUE,FALSE,s_12,USA_PMI_ISM_NONMAN_INVCH_1_NSA,haver,NMFII@SURVEYS,,USA,PMI,PMI,ISM,NONMAN,INVCH,,,NSA,,,M

TRUE,FALSE,s_13,USA_PMI_ISM_NONMAN_INVSENT_1_NSA,haver,NMFISI@SURVEYS,,USA,PMI,PMI,ISM,NONMAN,INVSENT,,,NSA,,,M

TRUE,FALSE,s_14,USA_PMI_ISM_NONMAN_BACKLOG_1_NSA,haver,NMFBOI@SURVEYS,,USA,PMI,PMI,ISM,NONMAN,BACKLOG,,,NSA,,,M

