Read,Visible,id,Ticker,Function,series1,series2,func_args,series1_start_date,series1_end_date,series1_factor,series1_shift,series2_start_date,series2_end_date,series2_factor,series2_shift

TRUE,TRUE,t_48,JPN_CPI_INDEX_NSA,splice_geometric,JPN_CPI_INDEX_1_NSA,JPN_CPI_INDEX_2_NSA,,,,,,,,,

TRUE,TRUE,t_15100,CAN_EMPL_LEVEL_PRIVATE_NONFARM_THOUS_SA,div_constant,CAN_EMPL_LEVEL_PRIVATE_NONFARM_NUM_1_SA,,1000,,,,,,,,

TRUE,TRUE,t_15101,HUN_EMPL_LEVEL_THOUS_SA,name,HUN_EMPL_LEVEL_THOUS_1_SA,,,,,,,,,,

TRUE,TRUE,t_15102,HUN_EMPL_LEVEL_PRIVATE_THOUS_NSA,name,HUN_EMPL_LEVEL_PRIVATE_THOUS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15103,JPN_CREDIT_REAL_ESTATE_MIL_LOC_NSA,mult_constant,JPN_CREDIT_REAL_ESTATE_100_MIL_YEN_1_NSA,,100,,,,,,,,

TRUE,TRUE,t_15104,IND_INFTARG_MID,name,IND_INFTARG_MID_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15105,CZE_INFTARG_MID,name,CZE_INFTARG_MID_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15106,UKR_INFTARG_MID,name,UKR_INFTARG_MID_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15107,USA_PMI_COMP_ISM_SA,name,USA_PMI_COMP_ISM_1_SA,,,,,,,,,,

TRUE,TRUE,t_15051,JPN_RSALES_NOM_BIL_LOC_NSA,name,JPN_RSALES_NOM_BIL_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15052,JPN_AUTO_SALES_BIL_LOC_NSA,name,JPN_AUTO_SALES_BIL_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15053,JPN_RSALES_NOM_FUEL_BIL_LOC_NSA,name,JPN_RSALES_NOM_FUEL_BIL_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15054,JPN_RSALES_NOM_AUTO_FUELS_LOC_NSA,sum,JPN_AUTO_SALES_BIL_LOC_1_NSA,JPN_RSALES_NOM_FUEL_BIL_LOC_1_NSA,,,,,,,,,

TRUE,TRUE,t_15055,JPN_RSALES_NOM_EX_AUTO_FUELS_LOC_NSA,subtract,JPN_RSALES_NOM_BIL_LOC_1_NSA,JPN_RSALES_NOM_AUTO_FUELS_LOC_NSA,,,,,,,,,

TRUE,TRUE,t_15056,JPN_RSALES_NOM_EX_AUTO_FUELS_LOC_SA,seasonaladjustx13,JPN_RSALES_NOM_EX_AUTO_FUELS_LOC_NSA,,,,,,,,,,

TRUE,TRUE,t_15108,JPN_RSALES_REAL_EX_AUTO_FUELS_LOC_SA,divide,JPN_RSALES_NOM_EX_AUTO_FUELS_LOC_SA,JPN_CPI_INDEX_NSA,,,,,,,,,

TRUE,TRUE,t_15109,EUR_BP_RES_INDEX_SA,name,EUR_BP_RES_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_15110,NZD_CONS_CONF_SA,name,NZD_CONS_CONF_1_SA,,,,,,,,,,

TRUE,TRUE,t_15111,NZD_PMI_SERVICES_SA,name,NZD_PMI_SERVICES_1_SA,,,,,,,,,,

TRUE,TRUE,t_15112,NZD_PMI_MANU_SA,name,NZD_PMI_MANU_1_SA,,,,,,,,,,

