				
	VALUE	(多项)		
				
	平均值项:VALUE	列标签		
	行标签	"Government of Canada benchmark bond yields, 5 year"	Overnight money market financing	总计
	1981/2/1		16.44444444	16.44444444
	1981/3/1		17.94444444	17.94444444
	1981/4/1		17.50038462	17.50038462
	1981/5/1		17.72727273	17.72727273
	1981/6/1		19.7421875	19.7421875
	1981/7/1		20.27884615	20.27884615
	1981/8/1		22.03333333	22.03333333
	1981/9/1		19.825	19.825
	1981/10/1		19.25	19.25
	1981/11/1		19.65	19.65
	1981/12/1		16.0625	16.0625
	1982/1/1		14.66142857	14.66142857
	1982/2/1		14.635	14.635
	1982/3/1		16.575	16.575
	1982/4/1		14.703125	14.703125
	1982/5/1		16.73666667	16.73666667
	1982/6/1		15.96	15.96
	1982/7/1		16.10363636	16.10363636
	1982/8/1		16.56863636	16.56863636
	1982/9/1		14.02857143	14.02857143
	1982/10/1		13.98230769	13.98230769
	1982/11/1		12.80923077	12.80923077
	1982/12/1		11.677	11.677
	1983/1/1		11.94785714	11.94785714
	1983/2/1		10.34142857	10.34142857
	1983/3/1		9.832857143	9.832857143
	1983/4/1		10.01	10.01
	1983/5/1		10.16222222	10.16222222
	1983/6/1		8.988823529	8.988823529
	1983/7/1		9.791538462	9.791538462
	1983/8/1		9.240666667	9.240666667
	1983/9/1		9.2725	9.2725
	1983/10/1		9.521818182	9.521818182
	1983/11/1		9.382307692	9.382307692
	1983/12/1		9.249285714	9.249285714
	1984/1/1		9.736363636	9.736363636
	1984/2/1		9.561428571	9.561428571
	1984/3/1		9.422666667	9.422666667
	1984/4/1		9.963571429	9.963571429
	1984/5/1		9.8525	9.8525
	1984/6/1		10.80076923	10.80076923
	1984/7/1		11.39666667	11.39666667
	1984/8/1		12.20916667	12.20916667
	1984/9/1		12.251	12.251
	1984/10/1		12.30147059	12.30147059
	1984/11/1		12.01666667	12.01666667
	1984/12/1		10.73863636	10.73863636
	1985/1/1		10.00833333	10.00833333
	1985/2/1		9.861111111	9.861111111
	1985/3/1		10.52235294	10.52235294
	1985/4/1		10.19166667	10.19166667
	1985/5/1		10.0090625	10.0090625
	1985/6/1		9.909090909	9.909090909
	1985/7/1		9.1565625	9.1565625
	1985/8/1		9.0625	9.0625
	1985/9/1		8.6953125	8.6953125
	1985/10/1		8.777777778	8.777777778
	1985/11/1		9.125	9.125
	1985/12/1		9.480769231	9.480769231
	1986/1/1		10.10227273	10.10227273
	1986/2/1		12.825	12.825
	1986/3/1		12.91346154	12.91346154
	1986/4/1		10.60576923	10.60576923
	1986/5/1		8.5875	8.5875
	1986/6/1		8.279705882	8.279705882
	1986/7/1		8.464722222	8.464722222
	1986/8/1		8.107142857	8.107142857
	1986/9/1		8.173076923	8.173076923
	1986/10/1		8.3	8.3
	1986/11/1		8.306818182	8.306818182
	1986/12/1		8.316176471	8.316176471
	1987/1/1		8.101076923	8.101076923
	1987/2/1		7.413538462	7.413538462
	1987/3/1		7.21	7.21
	1987/4/1		7.048	7.048
	1987/5/1		7.486857143	7.486857143
	1987/6/1		8.450133333	8.450133333
	1987/7/1		8.534272727	8.534272727
	1987/8/1		8.714285714	8.714285714
	1987/9/1		8.840625	8.840625
	1987/10/1		8.275555556	8.275555556
	1987/11/1		8.245714286	8.245714286
	1987/12/1		8.406153846	8.406153846
	1988/1/1		8.543333333	8.543333333
	1988/2/1		8.559230769	8.559230769
	1988/3/1		8.455	8.455
	1988/4/1		8.48	8.48
	1988/5/1		8.647909091	8.647909091
	1988/6/1		8.931722222	8.931722222
	1988/7/1		9.024545455	9.024545455
	1988/8/1		9.309333333	9.309333333
	1988/9/1		9.878	9.878
	1988/10/1		10.20307692	10.20307692
	1988/11/1		10.15714286	10.15714286
	1988/12/1		10.235	10.235
	1989/1/1		10.52604167	10.52604167
	1989/2/1		10.90833333	10.90833333
	1989/3/1		11.25390625	11.25390625
	1989/4/1		12.16666667	12.16666667
	1989/5/1		12.45955882	12.45955882
	1989/6/1		12.41911765	12.41911765
	1989/7/1		12.43229167	12.43229167
	1989/8/1		12.3125	12.3125
	1989/9/1		12.13888889	12.13888889
	1989/10/1		12.16346154	12.16346154
	1989/11/1		12.11607143	12.11607143
	1989/12/1		12.20673077	12.20673077
	1990/1/1	9.916428571	12.38392857	11.15017857
	1990/2/1	10.53818182	12.82954545	11.68386364
	1990/3/1	11.14769231	12.84134615	11.99451923
	1990/4/1	12.175	12.83482143	12.50491071
	1990/5/1	11.74153846	13.55288462	12.64721154
	1990/6/1	11.296	13.2875	12.29175
	1990/7/1	11.11363636	13.75	12.43181818
	1990/8/1	10.70235294	13.59558824	12.14897059
	1990/9/1	10.79166667	12.97395833	11.8828125
	1990/10/1	11.02666667	12.38333333	11.705
	1990/11/1	10.4675	12.48958333	11.47854167
	1990/12/1	10.21285714	11.96875	11.09080357
	1991/1/1	9.990714286	11.81696429	10.90383929
	1991/2/1	9.477333333	11.21666667	10.347
	1991/3/1	9.513636364	10	9.756818182
	1991/4/1	9.322	9.679166667	9.500583333
	1991/5/1	9.375714286	9.223214286	9.299464286
	1991/6/1	9.605333333	8.766666667	9.186
	1991/7/1	9.690666667	8.6875	9.189083333
	1991/8/1	9.476153846	8.6875	9.081826923
	1991/9/1	9.152	8.85625	9.004125
	1991/10/1	8.502142857	8.875	8.688571429
	1991/11/1	8.1	7.958333333	8.029166667
	1991/12/1	7.918461538	7.461538462	7.69
	1992/1/1	7.708571429	7.4425	7.517
	1992/2/1	8.041538462	7.260909091	7.481521739
	1992/3/1	8.620909091	6.953560606	7.370397727
	1992/4/1	8.4625	6.743445946	7.26240566
	1992/5/1	8.182222222	6.367672414	6.797434211
	1992/6/1	7.592142857	6.037222222	6.4726
	1992/7/1	6.8725	5.856838235	6.121793478
	1992/8/1	6.443846154	5.169242424	5.529456522
	1992/9/1	6.924166667	5.306590909	5.737944444
	1992/10/1	7.048	7.921875	7.664852941
	1992/11/1	7.261428571	7.538823529	7.457916667
	1992/12/1	7.347272727	7.588203125	7.526569767
	1993/1/1	7.396428571	6.665367647	6.87859375
	1993/2/1	7.064545455	6.102983871	6.354821429
	1993/3/1	6.802941176	5.166125	5.654298246
	1993/4/1	6.875	4.600785714	5.250561224
	1993/5/1	6.972222222	4.560517241	5.131710526
	1993/6/1	6.809285714	4.472222222	5.1266
	1993/7/1	6.488666667	4.207013889	4.878088235
	1993/8/1	6.315833333	4.195454545	4.760888889
	1993/9/1	6.271428571	4.339714286	4.891632653
	1993/10/1	6.054166667	4.575703125	4.978920455
	1993/11/1	5.955454545	4.143125	4.606744186
	1993/12/1	5.823636364	4.20921875	4.622209302
	1994/1/1	5.521875	3.971875	4.448798077
	1994/2/1	5.842	3.6445	4.193875
	1994/3/1	6.811666667	3.935857143	4.670106383
	1994/4/1	7.623571429	5.576911765	6.173854167
	1994/5/1	8.063125	5.76	6.455283019
	1994/6/1	8.636666667	5.711102941	6.474293478
	1994/7/1	8.818333333	5.612265625	6.486647727
	1994/8/1	8.511538462	5.281714286	6.156458333
	1994/9/1	8.461	5.107580645	5.925487805
	1994/10/1	8.522142857	4.9825	6.014895833
	1994/11/1	8.663636364	5.12890625	6.033139535
	1994/12/1	8.885833333	5.531640625	6.446420455
	1995/1/1	9.206190476	6.598214286	7.902202381
	1995/2/1	8.679	7.85	8.2645
	1995/3/1	8.279130435	8.125	8.202065217
	1995/4/1	8.04	8.064210526	8.052105263
	1995/5/1	7.592727273	7.743636364	7.668181818
	1995/6/1	7.383636364	7.353181818	7.368409091
	1995/7/1	7.593	6.765	7.179
	1995/8/1	7.834545455	6.460909091	7.147727273
	1995/9/1	7.558	6.222	6.89
	1995/10/1	7.346190476	6.244761905	6.79547619
	1995/11/1	7.005238095	6.001428571	6.503333333
	1995/12/1	6.833684211	5.955789474	6.394736842
	1996/1/1	6.5	5.674090909	6.087045455
	1996/2/1	6.536666667	5.269047619	5.902857143
