"","ARG_RGDP_EXT","AUS_RGDP_EXT","AUT_RGDP_EXT","BEL_RGDP_EXT","BRA_RGDP_EXT","BUL_RGDP_EXT","CAN_RGDP_EXT","CHE_RGDP_EXT","CHL_RGDP_EXT","CHN_RGDP_EXT","COL_RGDP_EXT","CRO_RGDP_EXT","CZE_RGDP_EXT","DEN_RGDP_EXT","DEU_RGDP_EXT","ESP_RGDP_EXT","EUR_RGDP_EXT","FIN_RGDP_EXT","FRA_RGDP_EXT","GBR_RGDP_EXT","GRE_RGDP_EXT","HKG_RGDP_EXT","HUN_RGDP_EXT","ICE_RGDP_EXT","IDN_RGDP_EXT","IND_RGDP_EXT","IRE_RGDP_EXT","ISE_RGDP_EXT","ITA_RGDP_EXT","JPN_RGDP_EXT","KOR_RGDP_EXT","MAL_RGDP_EXT","MEX_RGDP_EXT","NLD_RGDP_EXT","NOR_RGDP_EXT","NZD_RGDP_EXT","PER_RGDP_EXT","PHP_RGDP_EXT","POL_RGDP_EXT","POR_RGDP_EXT","ROM_RGDP_EXT","RUS_RGDP_EXT","SAF_RGDP_EXT","SAR_RGDP_EXT","SGP_RGDP_EXT","SWE_RGDP_EXT","TAW_RGDP_EXT","THA_RGDP_EXT","TUR_RGDP_EXT","URU_RGDP_EXT","USA_RGDP_EXT","VTN_RGDP_EXT"

"1947-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

"1947-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

"1947-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA

"1947-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998966087675765,NA

"1947-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998966087675765,NA

"1947-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998966087675765,NA

"1947-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99793217535153,NA

"1947-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99793217535153,NA

"1947-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99793217535153,NA

