Country,Code,Title,Order,transType,transPer,chartLine,BOP_Adj,VertLine1,VertLine2,y1,y2,Freq,Table,Include

CAN,CAN_CU_TOTAL_SA,Capacity: Capacity Utilization,1,nt,nt,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_BUS_CONF_EMPL_OBAL_SA,Prod: Bus Conf (Emp),1,nt,nt,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_BUS_CONF_BAROMETER_OBAL_NSA,Prod: Bus Conf (Total),1,nt,nt,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_IP_EX_CONS_SA,Prod: Indust Prod X Const,1,perChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_NO_MANU_LOC_SA,Prod: New Orders,1,nt,nt,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_PMI_MANU_IHS_SA,Prod: PMI Manu,1,nt,nt,50,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_PMI_SA,Prod: PMI Total,1,nt,nt,50,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_RSALES_REAL_SA,Demand: Real Retail Sales,2,perChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_RSALES_NOM_VAL_SA,Demand: Retail Sales,2,perChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_RSALES_NOM_EX_AUTO_SA,Demand: Retail Sales x Auto,2,perChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_EMPL_LEVEL_SA,Emp: Payrolls,3,lvlChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_URATE_SA,Emp: UE,3,nt,nt,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_ULC_INDEX_SA,Emp: ULC,3,perChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_LABOR_COMP_UNIT_LABOR_EARLY_EST_INDEX_SA,Emp: ULC2,3,perChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_WAGES_LOC_SA,Emp: Wage Growth,3,perChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_WAGES_HOURLY_SA,Emp: Wage Growth,3,perChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_BP_UNITS_SA,Housing: Building Permits,4,nt,nt,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_BS_RES_LOC_SA,Housing: Housing Starts,4,nt,nt,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_HOUS_HPI_NOM_INDEX_SA,Housing: House Prices,4,perChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_BUS_CREDIT_TOTAL_LOC_SA,Credit: Business Credit (6m Ann),5,lvlChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_HH_CREDIT_CONS_LOC_SA,Credit: Consumer Credit (6m Ann),5,lvlChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_HH_CREDIT_MORT_LOC_SA,Credit: Mortgage Credit (6m Ann),5,lvlChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_HH_CREDIT_TOTAL_LOC_SA,Credit: Total Household Credit (6m Ann),5,lvlChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_CPI_INDEX_SA,Inflation: HL CPI,6,perChg,6,0.02,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_CPI_CORE_X_FOOD_ENERGY_SA,Inflation: Core CPI,6,perChg,6,0.02,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_EXPORTS_GOODS_MIL_USD_SA,Trade: Exports (6m Ann),6,lvlChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_IMPORTS_GOODS_MIL_USD_SA,Trade: Imports (6m Ann),6,lvlChg,6,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

CAN,CAN_CTOT,Terms of Trade,6,nt,nt,ave,1,2015-01-20,2017-07-14,nlim,nlim,m,growth,1

USA,USA_RSALES_NOM_SA,Demand: Nom Retail Sales,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_CONS_CONF_CB_SA,Demand: Cons Conf (CB),1,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_CONS_CONF_UM_INDEX_NSA,Demand: Cons Conf (UM),1,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_RSALES_REAL_SA,Demand: Real Retail Sales,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_ISM_NONMAN_SA,Production: ISM NonManu,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_ISM_MANU_SA,Production: ISM Manu,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_KFED_MANU_EXP6M_SA,Production: KFED Manu,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_NYFED_MANU_CUR_SA,Production: NYFED Manu,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_PFED_MANU_CUR_SA,Production: PYFED Manu,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_DFED_MANU_COMP_CUR_SA,Production: DYFED Manu,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_NYFED_NONMAN_BACTIVITY_CUR_NSA,Production: NYFED NonManu,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_DFED_SERV_BACTIVITY_CUR_SA,Production: DYFED Serv,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_SBO_NFIB_INDEX_SA,Production: NFIB,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_IP_SA,Production: IP,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_IP_EX_CONS_SA,Production: IP x Const,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_CU_TOTAL_SA,Production: Cap Util,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_MANU_SA,Production: PMI Manu,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_SERVICES_SA,Production: PMI Serv,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_PMI_IHS_ADV_SA,Production: PMI Markit,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_EMPL_NONFARM_TOTAL_MOM_SA,Employment: NFP,4,ma,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_WAGES_TOTAL_PRIVATE_SA,Employment: Wages,4,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_WAGES_ATLFED_SA,Employment: Wages Atlanta Fed,4,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_WAGES_ECI_INDEX_SA,Employment: ECI,4,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_BP_RES_UNITS_SA,Housing: Building Permits,5,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_HOUS_HPI_NOM_INDEX_SA,Housing: Home Prices,5,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_HH_CREDIT_TOTAL_LOC_NSA,Credit: Total Household,6,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_HH_CREDIT_HOUSING_1TO4FAM_LOC_NSA,Credit: Housing,6,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

USA,USA_HH_CREDIT_CONS_LOC_SA,Credit: Consumer Credit,6,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_CONS_CONF_OBAL_SA,Demand: Cons Conf,1,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_RSALES_NOM_VAL_SA,Demand: Nominal RS,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

