Title,Title_last_date,Title_last_value,Order,transType,transPer,chartLine,BOP_Adj,Cor,Annualize,VertLine1,VertLine2,y1,y2,Freq,Table,Include,AxisUnit,Legend,TransformationName

Composite Growth,1,1,2,nt,nt,ave,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,Composite Growth,

CAI,1,1,2,nt,nt,ave,1,1,,nl,nl,nlim,nlim,m,growth,1,(%),CAI,3m %chg

Growth: RGDP,1,1,2,ann_6m_geo_smooth_chg,2,,1,,1,nl,nl,nlim,nlim,m,growth,1,(%),RGDP,

Prod: Capacity Utilization,1,1,2,nt,nt,ave,1,0,,nl,nl,nlim,nlim,m,growth,1,(%),Cap Util,

Prod: Capacity Utilization: Manu,1,1,2,nt,nt,ave,1,0,,nl,nl,nlim,nlim,m,growth,1,(%),Cap Util: Manu,

Prod: Capacity Utilization: Mining,1,1,2,nt,nt,ave,1,0,,nl,nl,nlim,nlim,m,growth,1,(%),Cap Util: Mining,

Prod: Bus Conf (Emp),1,1,2,nt,nt,ave,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,Business Conf Employ,

Prod: Bus Conf: Manu,1,1,2,nt,nt,ave,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,Business Conf Employ,

Prod: Bus Conf (Total),1,1,2,nt,nt,ave,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,Business Conf Total,

Prod: IP X Const,1,1,2,ann_6m_geo_smooth_chg,6,ave,1,1,1,nl,nl,nlim,nlim,m,growth,1,(%),IP X Const,6m %chg

Prod: IP X Const (Q),1,1,2,ann_6m_geo_smooth_chg,2,ave,1,1,1,nl,nl,nlim,nlim,m,growth,1,(%),IP X Const,6m %chg

Prod: IP,1,1,2,ann_6m_geo_smooth_chg,6,ave,1,1,1,nl,nl,nlim,nlim,m,growth,1,(%),IP,6m %chg

Prod: IP: Manu,1,1,2,ann_6m_geo_smooth_chg,6,ave,1,1,1,nl,nl,nlim,nlim,m,growth,1,(%),IP,6m %chg

Prod: New Orders,1,1,2,nt,nt,ave,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,New Orders,

Prod: New Orders: Volume,1,1,2,nt,nt,ave,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,New Orders: Volume,

Prod: Manu Index,1,1,2,nt,nt,ave,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,Manu Index,

Prod: PMI: Manu,1,1,2,nt,nt,50,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,PMI: Manu,

Prod: PMI: Total,1,1,2,nt,nt,50,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,PMI: Total,

Prod: PMI: Composite,1,1,2,nt,nt,50,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,PMI: Composite,

Prod: PMI: Construc,1,1,2,nt,nt,50,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,PMI: Construc,

Prod: PMI: Serv,1,1,2,nt,nt,50,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,PMI: Serv,

Prod: Econ Sentiment,1,1,2,nt,nt,ave,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,Econ Sentiment,

Prod: Tankan,1,1,2,nt,nt,ave,1,1,,nl,nl,nlim,nlim,m,growth,1,Index,Tankan,

