,USD 5Y Par Swap Rate,CAD 5Y Par Swap Rate,3M x 5Y USD Normal Annual Vol (BPS/ANNUM),3M x 5Y CAD Normal Annual Vol (BPS/ANNUM)
1990-01-02,8.62922,,,
1990-01-03,8.70739,,,
1990-01-04,8.699,,,
1990-01-05,8.70264,,,
1990-01-08,8.72067,,,
1990-01-09,8.72022,,,
1990-01-10,8.72067,,,
1990-01-11,8.75762,,,
1990-01-12,8.79194,,,
1990-01-15,8.79617,,,
1990-01-16,8.91863,,,
1990-01-17,8.90323,,,
1990-01-18,9.04659,,,
1990-01-19,8.96342,,,
1990-01-22,8.96352,,,
1990-01-23,9.05607,,,
1990-01-24,9.07246,,,
1990-01-25,9.10316,,,
1990-01-26,9.15137,,,
1990-01-29,9.22437,,,
1990-01-30,9.18159,,,
1990-01-31,9.091,,,
1990-02-01,9.0948,,,
1990-02-02,9.17877,,,
1990-02-05,9.1938,,,
1990-02-06,9.24946,,,
1990-02-07,9.16863,,,
1990-02-08,9.08578,,,
1990-02-09,8.99644,,,
1990-02-12,9.07435,,,
1990-02-13,9.00596,,,
1990-02-14,9.06142,,,
1990-02-15,9.10193,,,
1990-02-19,9.41051,,,
1990-02-20,9.29809,,,
1990-02-21,9.28182,,,
1990-02-22,9.1761,,,
1990-02-23,9.16757,,,
1990-02-26,9.09928,,,
1990-02-27,9.05474,,,
1990-02-28,9.16966,,,
1990-03-01,9.23567,,,
1990-03-02,9.20892,,,
1990-03-05,9.29973,,,
1990-03-06,9.2225,,,
1990-03-07,9.24255,,,
1990-03-08,9.23821,,,
1990-03-09,9.34833,,,
1990-03-12,9.33801,,,
1990-03-13,9.38777,,,
1990-03-14,9.30357,,,
1990-03-15,9.32909,,,
1990-03-16,9.24933,,,
1990-03-19,9.28698,,,
1990-03-20,9.24953,,,
1990-03-21,9.28059,,,
1990-03-23,9.19042,,,
1990-03-26,9.17537,,,
1990-03-27,9.1982,,,
1990-03-28,9.13582,,,
1990-03-29,9.2781,,,
1990-03-30,9.31692,,,
1990-04-02,9.31778,,,
1990-04-03,9.30177,,,
1990-04-04,9.22526,,,
1990-04-05,9.22722,,,
1990-04-06,9.23135,,,
1990-04-09,9.25479,,,
1990-04-10,9.27881,,,
1990-04-11,9.27142,,,
1990-04-16,9.33923,,,
1990-04-17,9.39797,,,
1990-04-18,9.50578,,,
1990-04-19,9.51004,,,
1990-04-20,9.56887,,,
1990-04-23,9.60111,,,
1990-04-24,9.62295,,,
1990-04-25,9.65998,,,
1990-04-26,9.71886,,,
1990-04-27,9.68295,,,
1990-04-30,9.65781,,,
1990-05-01,9.71287,,,
1990-05-02,9.70606,,,
1990-05-03,9.64574,,,
1990-05-04,9.4376,,,
1990-05-08,9.43681,,,
1990-05-09,9.47611,,,
1990-05-10,9.43216,,,
1990-05-11,9.27968,,,
1990-05-14,9.24899,,,
1990-05-15,9.26474,,,
1990-05-16,9.28773,,,
1990-05-17,9.31504,,,
1990-05-18,9.37524,,,
1990-05-21,9.35868,,,
1990-05-22,9.2689,,,
1990-05-23,9.19804,,,
1990-05-24,9.17722,,,
1990-05-29,9.19957,,,
1990-05-30,9.18533,,,
1990-05-31,9.19117,,,
1990-06-01,9.05126,,,
1990-06-04,9.01934,,,
1990-06-05,9.04153,,,
1990-06-06,9.04938,,,
1990-06-07,9.03722,,,
1990-06-08,9.05517,,,
1990-06-11,9.05534,,,
1990-06-12,9.07057,,,
1990-06-13,8.97229,,,
1990-06-14,8.94826,,,
1990-06-15,9.01413,,,
1990-06-18,9.06734,,,
1990-06-19,9.10262,,,
1990-06-20,9.11231,,,
1990-06-21,9.07814,,,
1990-06-22,9.06624,,,
1990-06-25,9.15837,,,
1990-06-26,9.10495,,,
1990-06-27,9.06021,,,
1990-06-28,9.00883,,,
